Cell Line,Inhibitor,Stimulus,Timepoint,4EBP1_pS65,4EBP1_pT37_pT46,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,c-JUN_pS73,c-Met_pY1235,c-Raf_pS338,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,HER3_pY1298,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NDRG1_pT346,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PEA15_pS116,PKC-alpha_pS657,PKC-delta_pS664,PKC-pan-betaII_pS660,PRAS40_pT246,Rb_pS807_S811,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
BT20,GSK690693,FGF1,5,3.05841617,4.315396736,0.401735151,8.164088159,5.721551504,2.382959778,0.910735253,0.250713918,0.682031057,1.221879085,1.106177469,1.015615197,0.46534099,1.421219638,0.210849679,0.890295597,2.120340043,1.736421274,1.000085602,0.434863455,0.347338258,0.668917917,1.505527025,1.035025292,0.259800078,0.843117001,0.637844802,0.797434234,0.811497104,0.471774437,0.349325666,2.473721313,6.957070457,0.326903221,0.893989479,2.542426197,8.808834214,2.992205887,1.403466711,0.327404186,0.294249564,1.091212395,2.3968635,0.469159464,5.032173421,0.80625887
BT20,GSK690693,Insulin,5,2.284633217,3.304103149,0.458510759,5.916588209,4.047213463,1.783818997,0.959074076,0.263569153,0.706151976,1.134644916,1.20710882,1.074167834,0.450615354,1.38818693,0.220361317,0.923077952,2.062187855,1.769033317,0.970958166,0.436326573,0.413589565,0.538515841,0.971895628,1.273120608,0.296959157,0.867985977,0.626948711,0.85085862,0.823747415,0.559025833,0.388966486,2.151281317,4.717376463,0.375322382,1.139401406,2.470152269,6.331933619,2.632582521,1.575035683,0.503439344,0.498446347,1.193768023,2.376581245,0.55708156,3.418248512,0.827090317
BT20,GSK690693_GSK1120212,FGF1,5,2.580163191,3.917766396,0.346260316,5.675662167,4.068889862,1.715538693,0.866077932,0.26198145,0.740471146,1.154390068,1.099183885,0.915725474,0.520369626,1.36175105,0.231173449,0.950915886,1.681644669,1.393581369,0.96292792,0.421646917,0.372683676,0.088369077,0.82657956,0.829201742,0.292697048,0.822549315,0.605012504,0.969342235,0.910137265,0.462029777,0.353445328,2.223306044,4.226983513,0.342639914,0.9432693,1.868317441,6.984855329,2.071379906,1.192223716,0.214125349,0.209987897,1.022630695,1.859941935,0.496067158,4.250028603,0.893833067
BT20,GSK690693_GSK1120212,Insulin,5,2.340925376,3.07084892,0.433561539,5.806054367,4.049260375,1.87544407,0.848849383,0.258638704,0.725432126,1.062426493,1.125046879,1.064112175,0.502797715,1.382028639,0.233122126,0.913338977,1.881089505,1.606624358,0.990187374,0.436426102,0.394807203,0.108989911,0.723856219,1.047762816,0.305190682,0.831463545,0.615461384,0.940861714,0.856685209,0.443612133,0.332306514,2.362635761,3.449497654,0.355772956,1.001703342,2.248839473,6.373352799,2.455111328,1.421167871,0.229053988,0.216887284,1.085959115,2.196637517,0.494910376,3.707788898,0.847250721
BT20,PD173074,FGF1,5,3.516597273,4.380757961,0.342140636,2.968643584,2.096827558,2.04780554,1.002459861,0.25776894,0.678266053,0.97290621,1.036264098,0.893786552,0.468114988,1.360729998,0.2236355,0.870542373,2.782557289,2.295321082,0.971638505,0.425981402,0.332238373,0.47879379,0.98642698,1.092037438,0.289840282,0.950144233,0.580769558,0.829766314,0.865849736,0.763590372,0.372086136,2.423094584,5.02247563,0.343718194,0.897786671,2.369342638,9.228233805,2.70393911,1.941502335,0.799765796,0.80637319,0.962858589,2.076569515,0.452620182,4.661193318,0.816553812
BT20,PD173074,Insulin,5,3.958762947,4.591321673,0.340995179,3.670048007,2.614397078,2.463648996,0.926566793,0.235098596,0.654457913,0.985304163,1.05338988,0.964316461,0.487050906,1.370465999,0.213464295,0.840286924,3.697405362,2.884848697,1.316192909,0.415921727,0.325148897,0.456331259,1.000644588,1.259985653,0.279590479,1.000571996,0.553409407,0.751787917,0.846939242,0.686361259,0.328714794,2.699188101,8.335032252,0.329574423,0.882864027,2.869163329,9.167798689,3.467203522,2.230762118,0.696567663,0.758953785,1.111737898,2.579295063,0.438969828,4.820425592,0.811094488
BT20,DMSO,FGF1,5,2.679444601,3.806642523,0.416342142,3.15023345,2.183532858,1.820265998,0.989219994,0.248366643,0.689391096,1.194522376,1.152500772,0.998648864,0.475835176,1.436283822,0.202249968,0.892850988,2.788749027,2.530120292,0.947233836,0.455112874,0.386390719,0.707796713,1.465801457,1.230548434,0.33510497,0.868887635,0.603516646,0.875776156,0.902350203,0.746984001,0.373191951,2.229056748,4.704331035,0.356235687,1.005022667,2.358348863,7.520778079,2.537042505,1.956436089,0.717326252,0.721042226,1.162306131,1.956970632,0.495361981,3.656215009,0.867136141
BT20,DMSO,Insulin,5,3.052811089,4.469774628,0.349102336,2.595404676,1.929312094,1.695023905,1.023936794,0.271175334,0.668740569,1.017812942,1.095479317,1.002664862,0.494552703,1.391512989,0.211546229,0.878429525,2.683507175,2.264280723,0.98005554,0.428087838,0.386122471,0.479276249,0.996571768,1.057140562,0.363291828,0.882964262,0.617261956,0.97526215,0.891741306,0.754349353,0.381873034,2.289546655,4.003026625,0.328413945,0.906281435,2.241937042,7.696588855,2.358668955,1.805781721,0.669623757,0.630431046,1.049833086,1.872397569,0.498822413,4.190690053,0.907597852
BT20,GSK690693,FGF1,15,2.352842121,3.410307614,0.499590103,7.122235366,4.819785129,1.923649847,0.998247953,0.259803405,0.667730715,1.358942443,1.185892535,1.011149333,0.448789226,1.385404566,0.224680027,0.913072282,2.307795924,1.983459051,1.004476276,0.449650947,0.373473118,1.117313995,1.886951002,1.226275755,0.305402318,0.834149643,0.624121304,0.810761055,0.857447595,0.471428039,0.477617949,2.210959962,5.151186906,0.370871043,1.041650958,2.640683457,6.282961161,2.978547569,1.558807931,0.429834301,0.385222535,1.165078716,2.354019399,0.518993785,3.846052142,0.93467764
BT20,GSK690693,Insulin,15,2.091035353,3.159111735,0.485858239,6.025444095,4.155293711,1.938367134,0.904626884,0.250852692,0.709823979,1.165080632,1.23128372,1.073568052,0.451760808,1.331283123,0.21709172,1.025294349,2.24393217,1.899146285,1.011406782,0.475487952,0.3846322,0.569743904,1.092669597,1.27358286,0.315568042,0.852387998,0.655134182,0.841948553,0.800417015,0.426622736,0.364156237,2.165156384,2.702589929,0.394843604,1.126702582,2.454417387,5.787900795,2.89088382,1.547916363,0.390157571,0.378292158,1.296695703,2.55699894,0.537824616,3.54249915,0.887873977
BT20,GSK690693_GSK1120212,FGF1,15,2.265635083,3.445169781,0.497152188,8.122232634,5.705309977,1.979830377,0.878556204,0.252193177,0.734295929,1.763238231,1.182628826,1.061563926,0.506501707,1.375196432,0.238057083,0.958162117,2.342519067,1.966530299,1.103207888,0.46603814,0.416978021,0.149544663,2.036714074,1.197666296,0.323406701,0.817334732,0.625374021,0.910807803,0.869590219,0.381231875,0.322385822,2.149324531,2.056173294,0.426506538,1.085308805,2.273654227,6.074768125,3.005657873,1.462979296,0.232836134,0.25159801,1.247195777,2.507890842,0.506986451,3.558311032,0.923712949
BT20,GSK690693_GSK1120212,Insulin,15,2.301580428,2.918685437,0.476845596,6.234212301,4.308395381,1.893026127,0.861826241,0.240009952,0.71664397,1.137489736,1.229568976,0.946227747,0.498919171,1.411838521,0.236975468,0.900601662,2.060666679,1.757462085,0.99467632,0.45235512,0.407201975,0.105255726,0.811270091,1.18827119,0.297411196,0.815771006,0.620151768,0.857692326,0.857705264,0.356885492,0.322439369,2.239765443,4.988608686,0.377441647,1.183074192,2.312501165,6.184975081,2.718345385,1.457292926,0.252049807,0.269254712,1.244164545,2.332166114,0.46164517,3.531410509,0.79284492
