Cell Line,Inhibitor,Stimulus,Timepoint,4EBP1_pS65,4EBP1_pT37_pT46,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,c-JUN_pS73,c-Met_pY1235,c-Raf_pS338,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,ER-alpha_pS118,FOXO3a_pS318_S321,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,HER3_pY1298,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NDRG1_pT346,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PEA15_pS116,PKC-alpha_pS657,PKC-delta_pS664,PKC-pan-betaII_pS660,PRAS40_pT246,Rb_pS807_S811,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,Src_pY416,Src_pY527,STAT3_pY705,TAZ_pS89,YAP_pS127,YB-1_PS102
BT20,GSK690693,FGF1,5,3.05841617,4.315396736,0.401735151,8.164088159,5.721551504,2.382959778,0.910735253,0.250713918,0.682031057,1.221879085,1.1061774690000001,1.015615197,0.46534099,1.4212196380000002,0.21084967899999998,0.890295597,1.021917715,2.120340043,1.736421274,1.000085602,0.434863455,0.34733825799999996,0.668917917,1.505527025,1.035025292,0.259800078,0.843117001,0.637844802,0.797434234,0.8114971040000001,0.47177443700000005,0.34932566600000003,2.473721313,6.957070457,0.326903221,0.893989479,2.5424261969999997,8.808834213999999,2.992205887,1.4034667109999999,0.32740418600000004,0.29424956399999996,1.091212395,2.3968635,0.46915946399999997,1.54012991,5.032173421,0.80625887
BT20,GSK690693,Insulin,5,2.2846332169999997,3.304103149,0.458510759,5.9165882089999995,4.047213463,1.7838189969999998,0.9590740759999999,0.263569153,0.7061519759999999,1.1346449159999998,1.20710882,1.074167834,0.45061535399999997,1.38818693,0.220361317,0.923077952,1.0955738000000002,2.062187855,1.7690333169999999,0.970958166,0.436326573,0.413589565,0.538515841,0.971895628,1.273120608,0.296959157,0.867985977,0.626948711,0.85085862,0.823747415,0.559025833,0.388966486,2.151281317,4.717376463,0.375322382,1.139401406,2.470152269,6.331933619,2.632582521,1.575035683,0.503439344,0.498446347,1.193768023,2.376581245,0.55708156,1.706933037,3.418248512,0.827090317
BT20,GSK690693_GSK1120212,FGF1,5,2.580163191,3.917766396,0.346260316,5.6756621670000005,4.068889862,1.715538693,0.866077932,0.26198145,0.740471146,1.1543900679999999,1.099183885,0.915725474,0.520369626,1.36175105,0.23117344899999998,0.950915886,1.046010719,1.681644669,1.393581369,0.96292792,0.421646917,0.372683676,0.08836907699999999,0.82657956,0.8292017420000001,0.292697048,0.822549315,0.605012504,0.969342235,0.910137265,0.46202977700000003,0.35344532799999995,2.223306044,4.226983513,0.342639914,0.9432693000000001,1.8683174409999999,6.984855329,2.0713799059999998,1.192223716,0.214125349,0.20998789699999998,1.022630695,1.859941935,0.49606715799999995,1.3716977469999998,4.2500286030000005,0.893833067
BT20,GSK690693_GSK1120212,Insulin,5,2.340925376,3.07084892,0.433561539,5.806054367000001,4.049260375,1.87544407,0.848849383,0.258638704,0.725432126,1.062426493,1.125046879,1.064112175,0.502797715,1.382028639,0.233122126,0.913338977,1.025367651,1.881089505,1.6066243580000001,0.990187374,0.43642610200000004,0.394807203,0.108989911,0.7238562190000001,1.0477628159999999,0.305190682,0.831463545,0.615461384,0.9408617140000001,0.8566852090000001,0.44361213299999996,0.332306514,2.362635761,3.449497654,0.35577295600000003,1.001703342,2.2488394730000003,6.373352799,2.455111328,1.421167871,0.22905398800000001,0.21688728399999999,1.085959115,2.196637517,0.49491037600000004,1.462580414,3.707788898,0.847250721
BT20,PD173074,FGF1,5,3.516597273,4.3807579610000005,0.342140636,2.9686435839999996,2.096827558,2.04780554,1.002459861,0.25776894,0.678266053,0.97290621,1.036264098,0.893786552,0.46811498799999995,1.360729998,0.22363550000000001,0.8705423729999999,1.097205739,2.7825572889999997,2.295321082,0.971638505,0.425981402,0.33223837300000003,0.47879379,0.98642698,1.092037438,0.289840282,0.950144233,0.580769558,0.829766314,0.8658497359999999,0.763590372,0.372086136,2.423094584,5.02247563,0.343718194,0.897786671,2.369342638,9.228233805,2.70393911,1.941502335,0.799765796,0.80637319,0.9628585890000001,2.076569515,0.45262018200000004,1.5847003069999999,4.6611933180000005,0.816553812
BT20,PD173074,Insulin,5,3.958762947,4.591321673,0.340995179,3.6700480069999997,2.614397078,2.463648996,0.926566793,0.23509859600000002,0.654457913,0.985304163,1.05338988,0.9643164609999999,0.487050906,1.370465999,0.213464295,0.840286924,1.140491364,3.697405362,2.884848697,1.316192909,0.415921727,0.325148897,0.456331259,1.000644588,1.259985653,0.279590479,1.000571996,0.5534094070000001,0.751787917,0.846939242,0.6863612590000001,0.328714794,2.6991881010000003,8.335032252000001,0.329574423,0.882864027,2.8691633289999996,9.167798689,3.4672035219999997,2.230762118,0.696567663,0.758953785,1.111737898,2.579295063,0.43896982799999995,1.959349583,4.820425592,0.811094488
BT20,DMSO,FGF1,5,2.679444601,3.8066425230000003,0.416342142,3.15023345,2.183532858,1.8202659980000002,0.989219994,0.248366643,0.6893910959999999,1.1945223759999999,1.152500772,0.9986488640000001,0.475835176,1.4362838219999998,0.202249968,0.892850988,1.1360224509999999,2.7887490269999997,2.530120292,0.947233836,0.455112874,0.386390719,0.707796713,1.465801457,1.2305484340000001,0.33510497,0.868887635,0.603516646,0.8757761559999999,0.902350203,0.746984001,0.373191951,2.229056748,4.704331035,0.356235687,1.005022667,2.3583488630000002,7.520778078999999,2.537042505,1.956436089,0.717326252,0.7210422259999999,1.162306131,1.956970632,0.495361981,1.650388674,3.656215009,0.8671361409999999
BT20,DMSO,Insulin,5,3.052811089,4.469774628,0.349102336,2.595404676,1.9293120940000001,1.695023905,1.0239367940000002,0.271175334,0.668740569,1.017812942,1.0954793170000001,1.002664862,0.494552703,1.391512989,0.21154622899999997,0.878429525,1.124626916,2.683507175,2.264280723,0.98005554,0.42808783799999994,0.386122471,0.479276249,0.996571768,1.057140562,0.363291828,0.882964262,0.617261956,0.97526215,0.8917413059999999,0.754349353,0.381873034,2.289546655,4.003026625,0.328413945,0.906281435,2.241937042,7.696588855,2.358668955,1.805781721,0.669623757,0.630431046,1.049833086,1.872397569,0.49882241299999996,1.507499135,4.190690053,0.907597852
BT20,GSK690693,FGF1,15,2.352842121,3.4103076139999997,0.49959010299999995,7.122235366,4.819785129,1.9236498469999999,0.998247953,0.259803405,0.667730715,1.358942443,1.185892535,1.0111493329999999,0.44878922600000004,1.3854045659999998,0.224680027,0.913072282,1.076880525,2.307795924,1.9834590509999999,1.004476276,0.449650947,0.373473118,1.117313995,1.886951002,1.226275755,0.305402318,0.8341496429999999,0.624121304,0.810761055,0.857447595,0.47142803899999997,0.477617949,2.210959962,5.151186906,0.37087104299999996,1.041650958,2.6406834569999997,6.282961161,2.978547569,1.558807931,0.42983430100000003,0.385222535,1.165078716,2.3540193990000002,0.518993785,1.76171848,3.846052142,0.93467764
BT20,GSK690693,Insulin,15,2.091035353,3.159111735,0.48585823899999997,6.025444095,4.155293711000001,1.9383671340000002,0.904626884,0.250852692,0.709823979,1.165080632,1.23128372,1.073568052,0.45176080799999996,1.331283123,0.21709172,1.0252943490000002,1.096910315,2.24393217,1.899146285,1.0114067820000001,0.47548795200000005,0.38463220000000004,0.569743904,1.092669597,1.27358286,0.315568042,0.852387998,0.6551341820000001,0.8419485529999999,0.800417015,0.426622736,0.36415623700000005,2.165156384,2.7025899289999997,0.39484360399999996,1.126702582,2.454417387,5.787900795,2.89088382,1.5479163630000001,0.39015757100000004,0.378292158,1.296695703,2.55699894,0.537824616,1.638599626,3.54249915,0.887873977
