Cell Line,Inhibitor,Stimulus,Timepoint,4EBP1_pS65,4EBP1_pT37_pT46,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,c-Met_pY1235,c-Raf_pS338,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,HER3_pY1298,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NDRG1_pT346,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PEA15_pS116,PKC-alpha_pS657,PKC-delta_pS664,PKC-pan-betaII_pS660,PRAS40_pT246,Rb_pS807_S811,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,Src_pY416,Src_pY527,STAT3_pY705,TAZ_pS89,YAP_pS127,YB-1_PS102
BT549,GSK690693,NRG1,5,8.486102107999999,9.962084691,0.315371289,12.41562546,5.750006396,1.193019325,1.195209802,0.92822672,1.68102513,1.428322115,1.075520678,0.252228513,1.271224816,1.1090759209999999,2.91238784,1.694643066,0.5516690360000001,0.783959463,0.746427585,0.35072383,0.145197116,1.079848046,0.360638075,1.163622927,1.03510878,0.6974346020000001,1.02812709,1.0515463170000001,1.058588338,1.047282131,1.170969084,3.6675100389999997,0.413148305,1.521634516,9.042162285,0.768583659,2.556808938,7.656120798,1.981558311,0.592454833,1.509552003,0.8472055959999999,0.804109423,5.11898142,1.688640797
BT549,GSK690693,FGF1,5,7.55319672,10.51469798,0.320357481,11.64572062,5.322075175,1.1130786670000001,1.20563668,0.9771544590000001,1.818884919,1.4080492230000001,1.048394267,0.249877387,1.242248057,1.034550825,2.816491965,1.725396423,0.520162461,0.70723391,0.721647927,0.36845462,0.14863001,1.116059211,0.340843099,1.27194577,1.0844726709999999,0.70900061,1.031130725,1.0819093359999998,1.123387317,0.984610555,1.4026735119999998,3.676130435,0.41600645299999994,1.581782359,8.872060164,0.7887993959999999,2.7977783410000003,7.471633435,2.197407615,0.57298746,1.514804518,0.912765032,1.129727338,4.50629464,1.770788269
BT549,DMSO,NRG1,5,7.161971597999999,10.49645358,0.288206646,6.063493101000001,2.478251476,0.968232435,1.2573872240000001,0.88906807,1.728246435,1.314264737,1.0618134879999999,0.23963894800000002,1.251460042,1.095713856,4.410431316,2.535890003,0.569803751,0.688467865,0.772412606,0.40652752200000003,0.145468038,1.16275822,0.346809827,1.332364871,1.090456604,0.7637340909999999,1.049258249,1.427768654,1.044201605,1.028432857,1.412916897,3.459635291,0.44120825399999997,1.482451973,8.030286941,0.8080209290000001,2.980084609,12.17378161,3.0091375260000004,0.575740111,1.462597334,0.939290385,1.083624259,5.181034841000001,1.8343069369999998
BT549,DMSO,FGF1,5,6.593593894,10.591000900000001,0.300334417,5.378340065,2.353580414,1.076549255,1.231276979,0.902785438,1.5995009830000002,1.281114811,1.034061262,0.23149868399999998,1.25718774,1.096824528,4.203775884,2.4797768419999997,0.49854531799999996,0.677372779,0.697983185,0.34745241,0.144986742,1.2417153429999999,0.322945721,1.277179317,1.1594373359999999,0.706650186,1.0177732320000001,1.362986064,1.054058441,0.960964655,1.5940753069999998,3.547015065,0.491803085,1.5638079,7.93201401,0.7835937359999999,2.9179153380000002,11.60021174,2.925208665,0.593085234,1.459451929,0.888316749,0.968419217,5.087408447,1.807417661
BT549,GSK690693,IGF1,5,6.949205506,9.553708774,0.300367499,13.16545336,5.8932702610000005,0.997693156,1.115862744,0.918665783,1.83602597,1.313883572,1.075228786,0.234831347,1.361661061,1.044196513,3.1350371389999996,1.826314929,0.584135039,0.8094657609999999,0.744071232,0.391567496,0.14295853,1.180386818,0.329310327,1.216093826,1.235026318,0.658112122,1.0824188209999999,0.982088445,1.070560105,0.972230024,1.459496911,3.9592121939999996,0.449420813,1.471928269,7.131951957999999,0.842115278,2.688535378,7.263419273999999,2.450374337,0.64300804,1.5772973819999998,0.86503975,1.143010148,4.95535123,1.839024704
BT549,GSK690693,PBS,5,6.865835343,9.248281599,0.292590692,12.43809925,5.644550732000001,1.0590836559999999,1.124708283,0.974623625,1.463822468,1.247786874,1.017792135,0.252580829,1.32447441,1.142967715,2.881963504,1.7354006180000001,0.549681248,0.8130426009999999,0.7697398440000001,0.369295813,0.143825628,0.989851643,0.333203621,1.21463239,1.102367428,0.69107862,1.017813595,1.078110982,1.140215503,1.010219532,1.47111022,3.952473407,0.45138195299999995,1.3724197809999998,6.8172810539999995,0.8430187109999999,2.287381945,6.556064685,1.9265205280000002,0.608945252,1.399125582,0.9081422290000001,1.128186119,4.786097045,1.825966535
BT549,DMSO,IGF1,5,7.097461602,8.746889552,0.274336736,5.957569042,2.713774416,0.9334312709999999,1.21474378,0.9773312590000001,1.608774269,1.32212476,1.037454109,0.228783519,1.252743345,1.047283563,4.757937543,2.4907616630000002,0.553348796,0.743412266,0.7695998759999999,0.389087161,0.137645719,1.246072747,0.322978611,1.282945828,1.082885818,0.654944164,0.9885139279999999,1.339926811,1.032801511,1.007086522,1.231301954,3.6796872069999997,0.42990514799999996,1.375216145,8.884468341,0.763225312,2.818661759,10.66654803,2.7297284289999997,0.596837906,1.4513965819999999,0.927851333,0.859570935,4.459413002,1.829358375
BT549,DMSO,PBS,5,5.972311508,9.530769023,0.325705415,5.6219228889999995,2.553786815,1.052812914,1.248901316,0.9439200670000001,1.903372249,1.2708871590000002,0.9955091,0.24269259399999998,1.3190227959999998,1.030840032,4.247823,2.509340324,0.549824991,0.73078361,0.8001441859999999,0.37124683,0.13104843300000002,1.275306633,0.315600988,1.224401603,1.17681692,0.684062574,1.021257473,1.2383594740000001,0.990081565,1.015127568,1.078177635,3.664571351,0.450572002,1.45091833,8.686539908,0.7990174170000001,3.167012386,11.97611365,2.715367665,0.618838577,1.492978075,0.9098824879999999,0.9894594879999999,4.575023483,1.7610156319999999
BT549,GSK690693,NRG1,15,8.166526896,10.25599255,0.387786664,12.248391400000001,6.457834086,1.161396418,1.25542904,0.984640381,1.965271038,1.298752451,0.913725873,0.24749981100000001,1.237065615,1.0467163259999999,2.866414158,1.74375633,0.560834285,0.777637967,0.734514908,0.33098309800000003,0.153120505,1.085027072,0.34794366299999996,1.165474839,1.026123505,0.647839025,1.0785739490000001,0.991490853,1.094777605,1.036898146,1.3610825659999999,3.93692265,0.439828459,1.564454477,8.380391169,0.814555813,2.647314564,9.791778368,2.3941842999999996,0.61165839,1.51520713,0.829945736,0.718046562,5.234772764,2.066847504
BT549,GSK690693,FGF1,15,7.357943447,10.44205699,0.38977216299999995,11.19505011,5.769646746,1.103238427,1.215961863,0.856322433,1.525120821,1.337889968,0.876065812,0.23574016,1.249112892,1.112662077,2.372840688,1.479241337,0.537489508,0.7337097,0.7427063840000001,0.16641134,0.122720823,1.107851122,0.334217082,1.163232356,1.180032812,0.655964027,1.0492671059999998,0.887278641,1.053165111,0.983959221,1.392844024,3.707282405,0.444666017,1.467650435,7.165694923999999,0.8155854359999999,2.444376894,8.261984672999999,2.371676709,0.59234571,1.434612362,0.8527526790000001,0.839362787,5.179197014,1.864735454
BT549,DMSO,NRG1,15,8.470442226,9.556415032,0.291768104,5.408845787000001,2.2268035630000003,0.96041136,1.38245592,0.8944636290000001,1.5305148640000001,1.145463135,0.86636286,0.22442980699999998,1.312787097,1.02214675,4.304168966000001,2.4466641119999997,0.574490333,0.696555887,0.726543982,0.352280504,0.153488085,0.989874338,0.325178583,1.289457654,1.307844281,0.751005163,1.067956643,1.420452515,1.031879446,1.020682614,1.777095005,3.2873632219999998,0.42178376799999995,1.44896179,8.516245905,0.7994032990000001,2.65109158,11.17129736,2.828166472,0.559865933,1.232354489,0.8612606270000001,0.64686401,5.839518524,2.011386213
