Cell Line,Inhibitor,Stimulus,Timepoint,4EBP1_pS65,4EBP1_pT37_pT46,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,c-Met_pY1235,c-Raf_pS338,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,HER3_pY1298,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NDRG1_pT346,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PEA15_pS116,PKC-alpha_pS657,PKC-delta_pS664,PKC-pan-betaII_pS660,PRAS40_pT246,Rb_pS807_S811,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
UACC812,GSK690693,Insulin,5,2.612307699,4.066277285,0.727945575,16.72151519,10.61478844,3.769534174,0.764247988,0.583153271,1.220125794,0.78756662,0.606979029,6.790463491,1.315012333,1.427739651,3.386981993,2.036594164,7.207312626,1.667934535,0.385001934,1.258665733,2.345665868,1.478814541,0.776377056,1.465402726,0.562521338,1.075689341,0.871595002,1.821419048,0.397923778,2.937368815,4.761130504,0.208556119,0.779645941,2.390259343,4.411290087,5.462007371,1.768769861,5.046636675,5.260309473,1.556794437,5.038911585,0.298903034,2.147041998,0.604695966
UACC812,GSK690693,EGF,5,2.632904452,4.369674594,0.705715113,13.15662278,8.185481283,3.799888177,0.835139562,0.627315857,1.083303671,0.868400249,0.580377735,6.440283936,1.281850632,1.270827861,3.170611848,1.953606329,7.516286188,1.819365629,0.398841489,1.440278186,2.50777118,1.310064451,0.832593799,1.399487371,0.544722829,1.032666513,0.899891106,1.676425627,0.404804602,2.870877574,5.373564821,0.214176427,0.739804157,2.281795818,4.570104245,4.524985901,1.540319764,3.785520011,3.686950919,1.666640605,4.616259702,0.303294221,2.161831415,0.660882389
UACC812,DMSO,Insulin,5,2.71053229,3.853641186,0.75497765,2.37824101,1.225112597,3.800745374,0.936162407,0.619390682,1.200321871,0.80904636,0.578456428,5.85895663,1.277369132,1.342976414,4.053948964,2.373458258,6.934510307,1.587768101,0.392837288,1.337113004,2.481405156,1.563375869,1.045672732,1.465154293,0.545566478,1.121976704,0.891403326,2.845324718,0.402051808,2.807651989,5.177908982,0.210074233,0.756056177,2.376371023,5.747843138,4.923127122,2.037915466,6.446500553,5.653441695,1.726484068,5.119324193,0.300086678,2.204981037,0.688741752
UACC812,DMSO,EGF,5,3.088163962,4.096924468,0.592228876,2.110235221,1.263713838,3.265752775,0.936100589,0.600734294,0.944790561,0.873889466,0.614822416,5.793674868,1.327969883,1.212841971,3.661008741,2.249664587,7.163575027,1.632071768,0.388238663,1.472910011,2.617221156,1.18523409,1.139547542,1.522748574,0.534049857,1.193284254,0.940277862,2.669530715,0.41567613,2.813892792,4.116869661,0.219301788,0.687419398,2.039821823,5.845949488,4.127951451,1.744598168,4.770565756,4.565195569,1.586847857,3.80613409,0.308744537,2.482310193,0.79413522
UACC812,GSK690693,IGF1,5,2.960792905,4.25926377,0.628370894,15.65520611,9.655410788,3.847134572,0.774550238,0.588488383,1.125377811,0.853788254,0.590328307,7.152547418,1.491651358,1.43033546,3.450689357,1.994073785,8.986440509,2.088135889,0.370767336,1.457691197,2.289563425,1.313087904,0.809833935,1.530398234,0.544118477,0.993377851,0.923590268,1.895497512,0.373000044,2.952336791,3.872649497,0.206521296,0.670803896,2.077498564,4.811060099,4.881129752,1.504006807,4.428839615,4.358343429,1.811636679,4.711374091,0.308737104,2.414494681,0.590184837
UACC812,GSK690693,FGF1,5,2.480100965,3.608311116,0.712625118,14.43754382,8.44491935,3.918584905,0.754748588,0.636199186,1.23584764,0.923309615,0.625634751,6.247554081,1.385708883,1.456524366,3.20094885,1.99368996,7.788496711,2.018166284,0.385656805,1.49912165,2.096489389,1.42217708,0.753915122,1.357385128,0.603785707,0.990967224,0.94064133,1.667002811,0.399677401,2.755105976,3.560839954,0.225727767,0.770991638,2.229925367,4.436632787,4.474209251,1.529310662,3.792092794,3.348899539,1.856608366,4.777816756,0.328621138,2.199654457,0.666787173
UACC812,DMSO,IGF1,5,2.816899429,3.948379924,0.661383137,2.806212648,1.499782517,3.717539391,0.824148855,0.646189534,1.264659402,0.847123982,0.619469796,8.423995634,1.436425164,1.366995052,3.982293952,2.405241492,8.610781838,1.865888414,0.38256321,1.345168299,2.283120554,1.584506628,1.080057084,1.518686145,0.586687398,1.111057753,0.864810193,2.961226145,0.384822492,2.78923394,4.503511057,0.216925224,0.745470909,2.319592539,5.979462127,4.873945327,1.830928773,6.251907996,8.083829289,1.810358535,4.954572206,0.306116536,2.53549958,0.672407502
UACC812,DMSO,FGF1,5,2.883423,3.731146917,0.651041681,3.055121958,1.590578203,3.878073752,0.845346054,0.690784814,1.374514827,0.948809745,0.602528019,7.866453373,1.489540513,1.524329576,4.155508827,2.635889104,8.513383009,1.963392751,0.388426286,1.616247033,2.409788986,1.590232535,1.102846666,1.567263132,0.542157098,1.145336873,0.973759669,3.075854033,0.376194399,2.867912913,4.286952508,0.207113431,0.740518585,2.461799826,5.546131784,4.95611002,2.079603404,5.896103945,5.137549945,1.866377702,4.811671511,0.304775239,2.463370126,0.743876583
UACC812,GSK690693,Insulin,15,2.497217803,3.765500505,0.769906284,14.2620764,8.730745419,3.548621311,0.813429555,0.582579364,1.112549904,0.798011511,0.615890746,7.645353753,1.32506489,1.264986777,2.832476235,1.737830663,8.875628191,1.644085244,0.384216722,0.625203784,1.115269485,1.624017386,0.674350612,1.263204491,0.534380017,1.075114966,0.868552822,1.52325284,0.412474659,2.684452321,4.916257663,0.221497143,0.813620944,2.032766119,3.698356374,5.480129169,1.636870301,5.52759428,5.243443519,1.680322796,5.260415892,0.313612382,2.20893895,0.612200547
UACC812,GSK690693,EGF,15,2.437639379,3.774646935,0.809329955,11.71865456,7.523352999,3.784091868,0.803952673,0.601259226,1.053566874,0.860354778,0.58725784,5.96335935,1.246888671,1.211324192,2.951715177,1.898616429,8.055155117,1.679620801,0.387389073,0.782848272,1.591119812,1.492797105,0.701443841,1.339684794,0.589408803,1.030660105,0.924861348,1.673083,0.430667697,2.841554495,5.792682871,0.21623658,0.782413848,2.036006538,4.01764143,5.053747043,1.688250757,5.370249614,4.735307495,1.822795863,4.902747279,0.296534675,2.249575444,0.619794038
