CBF1	GAL4	SWI5	GAL80	ASH1
0.1018000	0.1018000	0.1018000	0.1018000	0.1018000
0.0419000	0.0419000	0.0419000	0.0419000	0.0419000
0.0365000	0.0365000	0.0365000	0.0365000	0.0365000
0.0514000	0.0514000	0.0514000	0.0514000	0.0514000
0.0473000	0.0473000	0.0473000	0.0473000	0.0473000
0.0482000	0.0482000	0.0482000	0.0482000	0.0482000
0.0546000	0.0546000	0.0546000	0.0546000	0.0546000
0.0648000	0.0648000	0.0648000	0.0648000	0.0648000
0.0552000	0.0552000	0.0552000	0.0552000	0.0552000
0.0497000	0.0497000	0.0497000	0.0497000	0.0497000
0.0352000	0.0352000	0.0352000	0.0352000	0.0352000
0.0358000	0.0358000	0.0358000	0.0358000	0.0358000
0.0338000	0.0338000	0.0338000	0.0338000	0.0338000
0.0309000	0.0309000	0.0309000	0.0309000	0.0309000
0.0232000	0.0232000	0.0232000	0.0232000	0.0232000
0.0191000	0.0191000	0.0191000	0.0191000	0.0191000
0.0190000	0.0190000	0.0190000	0.0190000	0.0190000
0.0176000	0.0176000	0.0176000	0.0176000	0.0176000
0.0105000	0.0105000	0.0105000	0.0105000	0.0105000
0.0081000	0.0081000	0.0081000	0.0081000	0.0081000
1.1018000	1.1018000	1.1018000	1.1018000	1.1018000
