CBF1	GAL4	SWI5	GAL80	ASH1
0.00310000	0.01280000	0.00270000	0.00870000	0.00890000
0.00450000	0.03240000	0.00750000	0.02210000	0.01200000
0.00690000	0.02750000	0.02370000	0.02400000	0.01080000
0.00810000	0.01570000	0.03160000	0.00780000	0.01560000
0.00530000	0.01340000	0.02310000	0.00610000	0.01810000
0.01000000	0.01250000	0.02980000	0.00850000	0.02430000
0.00820000	0.01060000	0.02660000	0.00930000	0.02070000
0.00850000	0.00980000	0.02330000	0.00760000	0.02740000
0.01530000	0.00970000	0.02760000	0.00800000	0.02620000
0.01880000	0.01480000	0.03390000	0.00960000	0.03300000
0.03390000	0.01120000	0.03660000	0.01190000	0.02560000
0.02510000	0.01050000	0.02850000	0.00840000	0.02730000
0.02220000	0.00800000	0.02320000	0.00670000	0.02540000
0.01940000	0.00930000	0.02280000	0.00590000	0.02220000
0.02000000	0.00710000	0.02100000	0.00480000	0.02180000
0.02080000	0.01000000	0.02050000	0.00840000	0.01700000
